private line number,public line number,route Name,number of travelers in 2021,attraction_by_bus,distance(m),jan avg day,jan avg night,february avg day,february avg night,march avg day,march avg night,april avg day,april avg night,may avg day,may avg night,june avg day,june avg night,july avg day,july avg night,august avg day,august avg night,september avg day,september avg night,october avg day,october avg night,november avg day,november avg night,decmber avg day,decmber avg night
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350331,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350332,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350333,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350334,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350335,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350336,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350337,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350338,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350339,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350340,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350341,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350342,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350343,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350344,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
