StationName,Latitude,Longitude,line_name,metroTraffic_2021,Entertainment_Attraction,Health_Attraction,Education_Attraction,Entertainment_Distance(m),Health_Distance(m),Education_Distance(m),Entertainment_WalkingDuration(min),Health_WalkingDuration(min),Education_WalkingDuration(min),Entertainment_Latitude,Entertainment_longitude,Health_Latitude,Health_longitude,Education_Latitude,Education_longitude,Jan.Morning,Jan.Night,Feb.Morning,Feb.Night,Mar.Morning,Mar.Night,Apr.Morning,Apr.Night,May.Morning,May.Night,Jun.Morning,Jun.Night,Jul.Morning,Jul.Night,Aug.Morning,Aug.Night,Sep.Morning,Sep.Night,Oct.Morning,Oct.Night,Nov.Morning,Nov.Night,Dec.Morning,Dec.Night,Distance_per_Minute,Entertainment_Walkable(yes/no),Health_Walkable(yes/no),Education_Walkable(yes/no)
Pinar de Chamartin,4048013631,-366706111,Linea 1,6.222.074,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 2,6.222.075,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 3,6.222.076,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 4,6.222.077,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 5,6.222.078,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 6,6.222.079,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 7,6.222.080,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 8,6.222.081,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 9,6.222.082,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 10,6.222.083,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 11,6.222.084,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pinar de Chamartin,4048013631,-366706111,Linea 12,6.222.085,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Tribunal,4042613342,-370116243,Linea 1,13.521.895,Museo del Romanticismo,Hospital Nuestra Señora del Rosario,Wild Code School ,350,2100,300,4,31,4,40.42600106,-3.699051602,40.4321809,-3.679611852,40.42763015,-3.698258141,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Gran Vía,4041987424,-3701613041,Linea 1,7.180.340,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Sol,4041686834,-3702793213,Linea 1,49.567.085,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Tirso de Molina,4041237559,-3704359623,Linea 1,5.317.945,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Antón Martín,4041248995,-3699402901,Linea 1,3.642.276,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Estación del Arte,4040900991,-3692514988,Linea 1,3.000.335,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Atocha,4040657541,-3689417845,Linea 1,11.088.992,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Menéndez Pelayo,4040453297,-3680742777,Linea 1,2.819.370,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Pacífico,4040175113,-3674777864,Linea 1,18.460.266,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Puente de Vallecas,4039853123,-3668939103,Linea 1,6.114.428,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Nueva Numancia,4039581853,-3664390076,Linea 1,6.293.417,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Portazgo,4039288919,-3658907634,Linea 1,3.704.812,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
Buenos Aires,4039154908,-3653950912,Linea 1,2.559.265,,,,,,,,,,,,,,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,,
