StationName,Latitude,Longitude,line_name,metroTraffic_2021,Entertainment_Attraction,Health_Attraction,Education_Attraction,Entertainment_Distance(m),Health_Distance(m),Education_Distance(m),Entertainment_WalkingDuration(min),Health_WalkingDuration(min),Education_WalkingDuration(min),Entertainment_Latitude,Entertainment_longitude,Health_Latitude,Health_longitude,Education_Latitude,Education_longitude,Jan.Morning,Jan.Night,Feb.Morning,Feb.Night,Mar.Morning,Mar.Night,Apr.Morning,Apr.Night,May.Morning,May.Night,Jun.Morning,Jun.Night,Jul.Morning,Jul.Night,Aug.Morning,Aug.Night,Sep.Morning,Sep.Night,Oct.Morning,Oct.Night,Nov.Morning,Nov.Night,Dec.Morning,Dec.Night,Entertainment_Walkable(yes/no),Health_Walkable(yes/no),Education_Walkable(yes/no)
Tribunal,40.42613342,-3.70116243,Linea 1,13.521.895,Museo del Romanticismo,Hospital Nuestra Señora del Rosario,Wild Code School ,350,2100,300,4,31,4,40.42600106,-3.699051602,40.4321809,-3.679611852,40.42763015,-3.698258141,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Retiro,40.42073689,-3.685877351,Linea 2,3.612.177,Puerta de Alcalá,Angloamericana Medical Unit,Midleton School Madrid,120,270,450,4,3,6,40.42002342,-3.68869972,40.4219343,-3.687962235,40.42242605,-3.690213393,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Sol,40.41686834,-3.702793213,Linea 2,49.567.085,plaza Mayor,Clinícas Pol,Spanish Language School in Madrid ,400,300,14,5,4,1,40.41557302,-3.707437164,40.4169419,-3.707571767,40.4173945,-3.703488971,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Serrano,40.42541243,-3.686606943,Linea 4,3.148.887,Museo de Cera,Hospital Nuestra Señora del Rosario,Hispania Schools,450,1100,200,6,17,3,40.42514405,-3.691268304,40.43299803,-3.680002531,40.42561464,-3.683586722,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
El capricho,40.45329665,-3.594265832,Linea 5,943.938,Jardin El Capricho,Clínica Suiza,Colegio Alameda de Osuna,700,600,400,10,9,5,40.45599758,-3.598427647,40.45083523,-3.599330905,40.45572545,-3.591928282,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Príncipe Pío,40.4215879,-3.71940932,Linea 6,32.191.729,Temple of Debod,Clínica Santamarta,Academy don Quijote,600,1000,1000,10,15,17,40.42410115,-3.717792468,40.42703271,-3.713297272,40.42664311,-3.711081369,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Vicente Aleixandre,40.44684253,-3.718782881,Linea 6,2.139.036,Jaime del Amo Park,Hospital Clinico Universitario San Carlos,EOI Business School,500,650,96,7,9,1,40.44243794,-3.721183737,40.44087019,-3.719746073,40.44615872,-3.720468212,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Cruz del Rayo,40.44423272,-3.678233756,Linea 9,1.676.629,National Music Auditorium,Clínica Dental Auditorio,Madrid Flower School,50,290,550,1,4,8,40.44612341,-3.677126391,40.44698888,-3.675399048,40.4423979,-3.674443091,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Santiago Bernabéu,40.45216092,-3.690702584,Linea 10,4.784.869,Santiago Bernabéu Stadium,San Rafael Hospital,FED Business School,200,900,450,3,14,6,40.45294036,-3.688373761,40.45279315,-3.680750153,40.44983742,-3.689350151,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
La Peseta,40.36325224,-3.757339835,Linea 11,1.314.439,Salvador Allende Park,Groen Physiotherapy and Rehabilitation,Cinco Lobitos Infant School,210,650,400,3,9,6,40.36384406,-3.756744475,40.36423734,-3.753317664,40.36493086,-3.754453858,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Loranca,40.29642607,-3.837545586,Linea 12,1.831.020,Holy Family Parish,Clínica Dental Vitaldent,Public school Fregacedos,290,92,300,4,1,5,40.2977502,-3.838115981,40.29711255,-3.838179736,40.29661346,-3.833823811,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
Hospital Severo Ochoa,40.32178703,-3.768687361,Linea 12,1.277.841,Leganés Sculpture Museum,Hospital Universitario Severo Ochoa,Albert's English School,950,66,550,12,1,8,40.32586418,-3.75767933,40.32036295,-3.769514165,40.32443595,-3.763947054,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,,,
