WKT,name,description
"POINT (46.8187463 24.78395009999999)",Ibnul-Haitham 104,
"POINT (46.6168769 24.5810653)",As-Suwaidi Al-Gharbi 601,
"POINT (46.71588020000001 24.6289022)",Madina Munwarah 321,
"POINT (46.6692487 24.7248475)",Olaya 110,
"POINT (46.6534653 24.7246925)",Takhassusi 107,
"POINT (46.6385443 24.71728329999999)",King Abdullah 405,
"POINT (46.709053 24.7091719)",King Abdulaziz 08 A,
"POINT (46.55967220000001 24.5855909)",Khadijah Bint Khuwailid 411,
"POINT (46.72503409999999 24.6181309)",Al Batha 106A,
"POINT (46.6872959 24.6153951)",Madina Munwarah 415,
"POINT (46.6288784 24.7110815)",KSU 604,
"POINT (46.713523 24.9406109)",Altanfeethi Lounge,
"POINT (46.8459204 24.7164836)",Hassan Bin Thabit 210,
"POINT (46.711721 24.6263953)",Madina Munwarah 320,
"POINT (46.7297143 24.7867964)",Abi Jafar Al Mansoor 401,
"POINT (46.7668776 24.7913716)",Al-Hamra 506,
"POINT (46.70434589999999 24.6598227)",King Faisal 204,
"POINT (46.7986061 24.7408965)",Ibn Al Talaa 201,
"POINT (46.6166613 24.8296873)",Olaya 201,
"POINT (46.7909435 24.6857159)",Unayzah 208,
"POINT (46.7258336 24.6805083)",Salahuddin Al Ayubi 103,
"POINT (46.6546241 24.6074077)",Madina Munwarah 413,
"POINT (46.8179558 24.7113589)",Zubair Bin Al-'Awam 410,
"POINT (46.7409612 24.6031198)",Mali 401,
"POINT (46.6952459 24.8036121)",Othman Bin Affan 207,
"POINT (46.7018575 24.6664761)",King Faisal 202,
"POINT (46.6400624 24.7760469)",King Fahd 201,
"POINT (46.6121967 24.585983)",Ibn Al Muqaffa 201,
"POINT (46.758694 24.7882644)",Al-Hamra 605,
"POINT (46.71269119999999 24.6473232)",King Faisal 207,
"POINT (46.62997439999999 24.7119465)",KSU 504,
"POINT (46.8159077 24.7100777)",Zubair Bin Al-'Awam 409,
