attraction_by_bus,latitude,longitude
Ministry of Interior (FSF) project,24.773121,46.851028
الإدارة العامة للخدمات الطبية (وزارة الداخلية),24.569527,46.630859
Saudi Broadcasting Corporation (هيئة الإذاعة والتلفزيون),24.643877,46.695303
Banque Saudi Fransi - Private Banking Head Office (البنك السعودي الفرنسي - المكتب الرئيسي),24.713659,46.675551
Alinma Bank Head Office (مصرف الإنماء المركز الرئيسي),24.706713,46.675141
The Saudi Investment Bank (SAIB) - Head Office (البنك السعودي للاستثمار - الإدارة العامة),24.683311,46.71096
مركز صحي حي الملك فهد - وزارة الصحه,24.616628,46.551857
Ministry of Media (وزارة الإعلام),24.642629,46.697153
Luxury Events Office,24.609838,46.666544
CST (هيئة الاتصالات والفضاء والتقنية),24.736627,46.633871
Executive Office (المكتب التنفيذي),24.940704,46.713573
وزارة التربية والتعليم - وحدة التطوير الإداري (القسم النسائي),24.710642,46.84033
Medical Tower 1 - KSMC,24.627908,46.69131
Al Kessaey Clinic,24.810156,46.736549
HBR Clinic,24.777288,46.751288
,,
Thuriah Medical Center,24.675457,46.680572
ALSUBHI CLINIC (عيادات الصبحي),24.748991,46.77825
Nebras Medical Centre (مركز نبراس الطبي),24.807604,46.802246
‪Aesthetica Clinic (عيادات اسثتيكا),24.824755,46.640024
Light Clinic (عيادات لايت),24.695917,46.772279
Care Medical Center (عيادات كير),24.690541,46.700302
King Salman Hospital,24.60649972,46.64203361
Mohammed B. Naif Medical Center (مركز الأمير محمد بن نايف الطبي),24.711178,46.802364
My Health,24.607995,46.732294
OxyHealth Clinics,24.789352,46.681015
Specialized Medical Center (مستشفى التخصصي الطبي),24.679763,46.687368
,,
,,
Kingdom Schools (مدارس المملكة),24.791011,46.659253
Almajd Private Schools (مدارس المجد الأهلية),24.595507,46.635057
Almotaqadimah Private Schools (مدارس المتقدمة الاهلية),24.784652,46.744273
روضة مدارس الرياض,24.6588,46.691331
SDS Saudi Driving School (المدرسة السعودية للقيادة),24.860835,46.725804
Rwdat Abu Bader Alshamry (روضة ابو بدر الشمري),24.896457,46.706279
الي روضة خريم,24.7853,46.846867
KSU girls campus,24.72538599,46.63853246
International Riding School (مدرسة الفروسية الدولية),24.661639,46.755912
,,
King Khalid Internation Airport Schools (مدارس مطار الملك خالد الدولي),24.951914,46.652722
Fityou Fitness | Gym & Spa,24.776793,46.823015
Nails Tales Spa,24.691618,46.765942
Golden Dune Hotel Riyadh,24.688247,46.802913
King Khalid International Airport 2,24.96126527,46.70230028
