name,latitude,longitude
Ibnul-Haitham 104,24.78395009999999,46.8187463
As-Suwaidi Al-Gharbi 601,24.5810653,46.6168769
Madina Munwarah 321,24.6289022,46.71588020000001
Olaya 110,24.7248475,46.6692487
Takhassusi 107,24.7246925,46.6534653
King Abdullah 405,24.71728329999999,46.6385443
King Abdulaziz 08 A,24.7091719,46.709053
Khadijah Bint Khuwailid 411,24.5855909,46.55967220000001
Al Batha 106A,24.6181309,46.72503409999999
Madina Munwarah 415,24.6153951,46.6872959
KSU 604,24.7110815,46.6288784
Altanfeethi Lounge,24.9406109,46.713523
Hassan Bin Thabit 210,24.7164836,46.8459204
Madina Munwarah 320,24.6263953,46.711721
Abi Jafar Al Mansoor 401,24.7867964,46.7297143
Al-Hamra 506,24.7913716,46.7668776
King Faisal 204,24.6598227,46.70434589999999
Ibn Al Talaa 201,24.7408965,46.7986061
Olaya 201,24.8296873,46.6166613
Unayzah 208,24.6857159,46.7909435
Salahuddin Al Ayubi 103,24.6805083,46.7258336
Madina Munwarah 413,24.6074077,46.6546241
Zubair Bin Al-'Awam 410,24.7113589,46.8179558
Mali 401,24.6031198,46.7409612
Othman Bin Affan 207,24.8036121,46.6952459
King Faisal 202,24.6664761,46.7018575
King Fahd 201,24.7760469,46.6400624
Ibn Al Muqaffa 201,24.585983,46.6121967
Al-Hamra 605,24.7882644,46.758694
King Faisal 207,24.6473232,46.71269119999999
KSU 504,24.7119465,46.62997439999999
Zubair Bin Al-'Awam 409,24.7100777,46.8159077
