StationName,Latitude,Longitude,line_name,Entertainment_Attraction,Workplace_Attraction,Health_Attraction,Education_Attraction,Other_Attraction,Entertainment_Distance(m),Workplace_Distance(m),Health_Distance(m),Education_Distance(m),Other_Distance(m),Entertainment_WalkingDuration(min),Workplace_WalkingDuration(min),Health_WalkingDuration(min),Education_WalkingDuration(min),Other_WalkingDuration(min),Entertainment_Latitude,Entertainment_Longitude,Workplace_Latitude,Workplace_Longitude,Health_Latitude,Health_Longitude,Education_Latitude,Education_Longitude,Other_Latitude,Other_Longitude,Jan.Morning,Jan.Night,Feb.Morning,Feb.Night,Mar.Morning,Mar.Night,Apr.Morning,Apr.Night,May.Morning,May.Night,Jun.Morning,Jun.Night,Jul.Morning,Jul.Night,Aug.Morning,Aug.Night,Sep.Morning,Sep.Night,Oct.Morning,Oct.Night,Nov.Morning,Nov.Night,Dec.Morning,Dec.Night,Entertainment_Walkable(yes/no),Workplace_Walkable(yes/no),Health_Walkable(yes/no),Education_Walkable(yes/no),Other_Walkable(yes/no),Avg_Temperature
Riyadh Metro Station - Courts Complex,24.62611365,46.71150243,Orange Line,Al Masmak Palace,Riyadh Criminal Court,Medical Tower 1 - KSMC,Muhammadiyah Primary School for Boys,Sheikh Mohammed bin Ibrahim Al Sheikh Mosque,1300.0,750.0,2050.792038,190.0,186.75,17,11,25.0,3.0,2.24,24.631026,46.713611,24.642629,46.697153,24.627908,46.69131,24.6588,46.691331,24.62764102,46.7122707,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
2G1 King Fahad Stadium,24.79301975,46.83640293,Red Line,King Fahd Stadium,Ministry of Interior (FSF) project,Mohammed B. Naif Medical Center (مركز الأمير محمد بن نايف الطبي),الي روضة خريم,Fityou Fitness | Gym & Spa,1500.0,2660.02053,1857.582199,1361.137678,2254.393498,20,32,22.0,16.0,27.0,24.788637,46.839119,24.773121,46.851028,24.784335,46.852122,24.7853,46.846867,24.776793,46.823015,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,No,27.9375
King Abdullah Financial District (KAFD),24.76745,46.64306,"blue , yellow, purple line",Al Ghadeer Walkway (ممشى الغدير),KAFD,Elegaci Clinic (عيادات اليجسي),Kingdom Schools (مدارس المملكة),Executive Hotel (KAFD) (فندق التنفيذيين),517.6377582,280.0,1930.617272,3088.082544,825.3215351,6,4,23.0,37.0,10.0,24.771297,46.645947,24.766089,46.643842,24.77166,46.624509,24.791011,46.659253,24.774243,46.639766,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,No,Yes,27.9375
Western Metro Station,24.58172196,46.61477362,Orange Line,Al Mukmaliya Event Hall,الإدارة العامة للخدمات الطبية (وزارة الداخلية),HONDA Service Center (هوندا مركز الخدمة),Almajd Private Schools (مدارس المجد الأهلية),Milan gym (نادي ميلان),750.0,2117.680778,1262.010232,2560.408091,291.9918576,10,25,15.0,31.0,4.0,24.582988,46.614615,24.569527,46.630859,24.570503,46.612886,24.595507,46.635057,24.584,46.61621,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,No,Yes,27.9375
Granada Center,24.78645839,46.72914381,Purple Line,Granada Mall,Ministry of Economy and Planning (وزارة الاقتصاد و التخطيط),Al Kessaey Clinic,مدارس رياض الانطلاقة,Hilton Riyadh Hotel & Residences (فندق و ريزيدنتس هيلتون الرياض),700.0,126.3204408,2739.024241,1707.041879,154.7785291,10,2,33.0,20.0,2.0,24.791069,46.735109,24.786612,46.727904,24.810156,46.736549,24.795191,46.715236,24.7854,46.728148,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,Yes,Yes,27.9375
Qasr al-Hokm,24.62859706,46.71624689,"Orange , Blue",Al Safat Square,Saudi Broadcasting Corporation (هيئة الإذاعة والتلفزيون),Dr. Mohammed Abdulatif Basha Clinic (BMC),mémorable school (المدرسة التذكارية),Gloria-Inn Hotel (فندق جلوريا ان),700.0,2714.386464,1276.576683,278.3454952,251.902045,10,33,15.0,3.0,3.0,24.630636,46.714097,24.643877,46.695303,24.637648,46.708477,24.630881,46.717374,24.630712,46.71714,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
2A2 Riyadh Metro Station,24.71708353,46.63876028,Red Line,VOX Cinemas,AL-AMTHAL FINANCING COMPANY,The Medical Clinic at KACST,Enlighten Our Minds School,KSU Central Library (المكتبة المركزية),826.6562959,300.0,91.67704579,1194.843712,1184.028674,10,4,1.0,14.0,14.0,24.724162,46.641262,24.736627,46.633871,24.717908,46.638762,24.707011,46.63464,24.727455,46.636105,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
2B1 Riyadh Metro Station,24.72404149,46.65515435,Red Line,PÃO (باو),Banque Saudi Fransi - Private Banking Head Office (البنك السعودي الفرنسي - المكتب الرئيسي),Dr.soliman Al habib,Dar Al-Salam Private Schools (مدارس دار السلام الأهلية),Ocean Spa,257.1604919,2361.609672,750.0,329.32764,296.9524404,3,28,11.0,4.0,4.0,24.725633,46.653307,24.713659,46.675551,24.723144,46.646139,24.722637,46.658025,24.721497,46.656047,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,No,Yes,Yes,Yes,27.9375
Riyadh Metro Station 6E1 - Al Yarmuk,24.79121174,46.76626338,Purple Line,Atyaf Mall,Fast E20 Office,HBR Clinic,Almotaqadimah Private Schools (مدارس المتقدمة الاهلية),LAVERA inn Hotel,450.0,160.1052126,2163.942432,2336.692065,192.6503584,6,2,26.0,28.0,2.0,24.792348,46.768209,24.791319,46.767845,24.777288,46.751288,24.784652,46.744273,24.790334,46.764618,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,No,No,Yes,27.9375
Riyadh Metro Olaya STC Station,24.72669719,46.66700206,"Red, Blue line",Najd Oasis Walk (ممشى واحة نجد),Samba Corporate CBG | Kingdom Tower,Shoaa Medical Center (مركز شعاع الطبي),Najd national school,Sheraton Riyadh Hotel & Towers (فندق وأبراج شيراتون الرياض),361.9233975,1869.120548,1089.50608,600.0,210.9119375,4,22,13.0,8.0,3.0,24.728994,46.664463,24.711321,46.674479,24.732305,46.675848,24.72599,46.66751,24.72747,46.665095,20.1,12,22.8,13.9,27.7,18.3,32.4,23.2,37.9,28.4,41.5,30.7,43,31.8,42.4,31.2,39.7,28,43.2,23,26.8,17.8,21.1,13.6,Yes,Yes,Yes,Yes,Yes,27.9375
